Statistical profiling result from isolate-0x102001000-v8.log, (4900 ticks, 590 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    134   95.0%        LazyCompile: *arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
    134  100.0%          LazyCompile: ~map /Users/leo/Workspace/git-metrics/node_modules/lodash/map.js:48:13
    134  100.0%            LazyCompile: ~skim /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:54:14
      7    5.0%        LazyCompile: ~arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
      7  100.0%          LazyCompile: ~map /Users/leo/Workspace/git-metrics/node_modules/lodash/map.js:48:13
      7  100.0%            LazyCompile: ~skim /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:54:14

    136    2.8%  _szone_malloc_should_clear
      4    2.9%    v8::internal::Runtime_KeyedStoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1   25.0%      LazyCompile: ~addUnitPriority /Users/leo/Workspace/git-metrics/node_modules/moment/moment.js:523:29
      1  100.0%        Function: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/moment/moment.js:7:19
      1  100.0%          Function: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/moment/moment.js:3:12
      1  100.0%            Function: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/moment/moment.js:1:11
      1   25.0%      LazyCompile: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:16974:47
      1  100.0%        LazyCompile: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:4917:22
      1  100.0%          LazyCompile: ~baseForOwn /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:3009:24
      1  100.0%            Function: ~runInContext /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:1420:44
      1   25.0%      LazyCompile: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:16838:34
      1  100.0%        LazyCompile: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:4917:22
      1  100.0%          LazyCompile: ~baseForOwn /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:3009:24
      1  100.0%            Function: ~<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/lodash.js:16836:28
      1   25.0%      LazyCompile: assembleStyles /Users/leo/Workspace/git-metrics/node_modules/ansi-styles/index.js:19:24
      1  100.0%        Stub: CEntryStub
      1  100.0%          LazyCompile: ~Module._load module.js:412:24
      1  100.0%            LazyCompile: *Module.require module.js:494:36

    108    2.2%  v8::internal::Builtin_ArrayIsArray(int, v8::internal::Object**, v8::internal::Isolate*)
    105   97.2%    v8::internal::Builtin_ArrayIsArray(int, v8::internal::Object**, v8::internal::Isolate*)
     63   60.0%      LazyCompile: *basePick /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:13:18
     63  100.0%        LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/pick.js:21:29
     63  100.0%          LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:55:44
     60   95.2%            LazyCompile: *arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
      3    4.8%            LazyCompile: ~arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
     24   22.9%      LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:14:44
     24  100.0%        LazyCompile: *basePick /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:13:18
     24  100.0%          LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/pick.js:21:29
     24  100.0%            LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:55:44
     16   15.2%      LazyCompile: *baseSet /Users/leo/Workspace/git-metrics/node_modules/lodash/_baseSet.js:17:17
     16  100.0%        LazyCompile: *basePick /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:13:18
     16  100.0%          LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/pick.js:21:29
     16  100.0%            LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:55:44
      3    2.8%    LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:14:44
      3  100.0%      v8::internal::Builtin_ArrayIsArray(int, v8::internal::Object**, v8::internal::Isolate*)
      3  100.0%        LazyCompile: *basePick /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:13:18
      3  100.0%          LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/pick.js:21:29
      3  100.0%            LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:55:44

     98    2.0%  LazyCompile: *baseSet /Users/leo/Workspace/git-metrics/node_modules/lodash/_baseSet.js:17:17
     98  100.0%    LazyCompile: *basePick /Users/leo/Workspace/git-metrics/node_modules/lodash/_basePick.js:13:18
     98  100.0%      LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/lodash/pick.js:21:29
     98  100.0%        LazyCompile: *<anonymous> /Users/leo/Workspace/git-metrics/node_modules/knex/lib/helpers.js:55:44
     93   94.9%          LazyCompile: *arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
     93  100.0%            LazyCompile: ~map /Users/leo/Workspace/git-metrics/node_modules/lodash/map.js:48:13
      5    5.1%          LazyCompile: ~arrayMap /Users/leo/Workspace/git-metrics/node_modules/lodash/_arrayMap.js:10:18
      5  100.0%            LazyCompile: ~map /Users/leo/Workspace/git-metrics/node_modules/lodash/map.js:48:13

